"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"Hyperdimension Neptunia Re;Birth1","72","Role-Playing","http://static.metacritic.com/images/products/games/0/c4ce4187aa7549077b10b184cf85ed62-98.jpg","8.3","Previously only available on consoles, now you can immerse yourself in the JRPG Hyperdimension Neptunia series for the first time on PC.","PC","Idea Factory","Idea Factory","T","2015-01-28","http://www.metacritic.com/game/pc/hyperdimension-neptunia-rebirth1"
"Infinite Crisis","68","Strategy","http://static.metacritic.com/images/products/games/1/d351b034729d0160c8e3239e31c47992-98.jpg","6.6","Infinite Crisis is a new entrant into the MOBA genre that delivers a competitive player vs. player battle experience set in the legendary DC Multiverse - a world in which familiar DC Comics characters have been reimagined in startling ways. Featuring a wide variety of DC Comics heroes and villains, Infinite Crisis puts players in control of twisted incarnations of their characters throughout the Multiverse such as Nightmare Batman and Gaslight Catwoman, playing in league with characters including Green Lantern and The Flash.","PC","Warner Bros. Interactive Entertainment","Turbine Inc.","T","2015-03-26","http://www.metacritic.com/game/pc/infinite-crisis"
"Injustice: Gods Among Us - Ultimate Edition","79","Action","http://static.metacritic.com/images/products/games/2/06e5a78da5781ef118900a570150ec3a-98.jpg","7.6","What if our greatest heroes became our greatest threat? Injustice: Gods Among Us Ultimate Edition features DC Comics icons such Batman, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman, in a dark tale of power and corruption. Heroes and villains engage in epic battles on a massive scale in a world where the line between good and evil has been blurred.","PC","Warner Bros. Interactive Entertainment","NetherRealm Studios","T","2013-11-12","http://www.metacritic.com/game/pc/injustice-gods-among-us---ultimate-edition"
"Insurgency","74","Action","http://static.metacritic.com/images/products/games/5/0c7fa6a4283afb9ae7293f36f6d27ee1-98.jpg","8.6","Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience. The follow-up game to the award-winning Source mod, Insurgency is highly competitive and unforgivingly lethal, striking a balance between one-life gameplay and prolonged action.","PC","New World Interactive","New World Interactive","","2013-03-01","http://www.metacritic.com/game/pc/insurgency"
"Invisible, Inc.","82","Sci-Fi","http://static.metacritic.com/images/products/games/0/398d910c461e97627166717ea9e8aa4b-98.jpg","7.9","Invisible, Inc. is a mercenary espionage agency operating in the latter years of the 21st century. Infiltrate procedurally generated corporate facilities in tense, turn-based missions where every move could be your last. Find profit in chaos as you guide your team around the world in search of lucrative contracts.","PC","Klei Entertainment","Klei Entertainment","","2015-05-12","http://www.metacritic.com/game/pc/invisible-inc"
"Keep Talking and Nobody Explodes",NA,"First-Person","http://static.metacritic.com/images/products/games/7/fe5db601a3f4d3c903d716aa6a003239-98.jpg","8.7","You're trapped alone in a room with a ticking time bomb. Your friends have the manual to defuse it, but they can't see the bomb, so you're going to have to talk it out – fast.","PC","Steel Crate Games","Steel Crate Games","","2015-10-08","http://www.metacritic.com/game/pc/keep-talking-and-nobody-explodes"
"Kerbal Space Program","88","Sci-Fi","http://static.metacritic.com/images/products/games/2/6d8d7e4c8fea22d6de0122b21f78fe11-98.jpg","8","In Kerbal Space Program you have to build a space-worthy ship, capable of flying its crew out into space without killing any of them. At your disposal is a collection of parts, which must be assembled to create a functional craft. Each part has its own function and will affect the way a ship flies (or does not). So strap yourself in, and get ready to try some Rocket Science.","PC","SQUADTeam
                                                            
                                                    

                                                            
                                                        Squad","SQUADTeam, Squad","","2015-04-27","http://www.metacritic.com/game/pc/kerbal-space-program"
"Killing Floor","72","Action","http://static.metacritic.com/images/products/games/3/7adadae73a32af96275af9ad3f928ecf-98.jpg","8.6","It’s a co-op survival horror game. Up to 6 players in online co-op mode, or just you, on your own, playing the Solo mode. The aim - cleanse each area of zombies, in waves, until you get to the last one. The Big One. The Patriarch. Then exterminate him, too. Actually, they aren’t ""zombies"". They are the left-over ""specimens"" from a cheap and dirty government program to clone soldier-monsters. The basic ones will just munch on your arm and try to disembowel you. The bigger ones were the first ones they tried arming. Nothing much. Just a chainsaw or a blade for starters. They had just got on to the chain gun and rockets when the government tried to secretly shut down their secret program. But, in the typical way these things go, the program didn’t want to be shut down. The specimens got loose. No-one was left alive to turn off the specimen-cloning equipment. And now they are running amok. Well, some of them are running amok. Others are shambling amok or even jumping amok, but you get the idea. The police were sent in, but that wasn't even a challenge for the specimens. The first army units hadn't been warned what to expect. The screams of its got a bloody chainsaw!"" over the radios probably didn’t do much for morale, as whole units were chewed up. Quite literally, in some cases, of course. And now, there is just you. And a few friends. The few survivors from the first police and army units thrown in. Of course, you can’t tell anyone anything, because that would be a breach of the Official Secrets Act 1911, 1920, 1989. And that would be a disciplinary offense. So just get in there and do your bit for Queen and Country. Zombies. Lots of them. Big ones, little ones. Armed and Dangerous. JUST MAKE THEM ALL GO AWAY! [Tripwire]","PC","Tripwire Interactive","Tripwire Interactive","M","2009-05-14","http://www.metacritic.com/game/pc/killing-floor"
"Killing Floor 2",NA,"Action","http://static.metacritic.com/images/products/games/4/c646d753ba2fde37fb4d077ff50ddce7-98.jpg",NA,"In KILLING FLOOR 2 players descend into continental Europe where the outbreak caused by Horzine Biotechâ€™s failed experiment has quickly spread and gained unstoppable momentum, essentially paralyzing the European Unionâ€” Just one month after the events in the original KILLING FLOOR, the specimen clones are everywhere and civilization is in disarray; communications have failed, governments have collapsed, and military forces have been systematically eradicated. The people of Europe know survival and self-preservation too well and lucky survivors have gone into hiding.","PC","Tripwire Interactive","Tripwire Interactive","","1970-01-01","http://www.metacritic.com/game/pc/killing-floor-2"
"Kingdom","74","Action","http://static.metacritic.com/images/products/games/0/2837b952e9d07127539ffe16aaf48081-98.jpg","7.7","Kingdom is a 2D sidescrolling strategy/resource management hybrid with a minimalist feel wrapped in a beautiful, modern pixel art aesthetic.","PC","Thomas van den Berg","Thomas van den Berg","","2015-10-21","http://www.metacritic.com/game/pc/kingdom"
"Left 4 Dead 2","89","Action","http://static.metacritic.com/images/products/games/3/6092c69b62c2093639f9d728c1439425-98.jpg","8.5","Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. Play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You’ll also encounter five new ""uncommon"" common infected, including the terrifying Mudmen. Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you’ll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. [Valve]","PC","Electronic Arts","Valve Software","M","2009-11-17","http://www.metacritic.com/game/pc/left-4-dead-2"
"LEGO Jurassic World","72","Action Adventure","http://static.metacritic.com/images/products/games/1/c140a02b208e5a61b8d0204df30a471d-98.jpg","6.8","Following the epic storylines of Jurassic Park, The Lost World: Jurassic Park and Jurassic Park III, as well as the highly anticipated Jurassic World, LEGO Jurassic World is the first videogame where players will be able to relive and experience all four Jurassic films.","PC","Warner Bros. Interactive Entertainment","TT Games","E10+","2015-06-11","http://www.metacritic.com/game/pc/lego-jurassic-world"
"LEGO Marvel Super Heroes","78","Action Adventure","http://static.metacritic.com/images/products/games/0/469a1b2b7f04e10f4408f865986f95cb-98.jpg","8.2","LEGO Marvel Super Heroes features an original story where players take control of Iron Man, Spider-Man, the Hulk, Captain America, Wolverine and many more Marvel characters as they unite to stop Loki and a host of other Marvel villains from assembling a super-weapon capable of destroying the world.","PC","Warner Bros. Interactive Entertainment","TT Games","E10+","2013-10-22","http://www.metacritic.com/game/pc/lego-marvel-super-heroes"
"LEGO Worlds",NA,"Action Adventure","http://static.metacritic.com/images/products/games/8/709cb79516a615a78575c7fb7968b71f-98.jpg","6.9","","PC","TT Games","TT Games","","2015-06-01","http://www.metacritic.com/game/pc/lego-worlds"
"Life is Feudal: Your Own",NA,"Action Adventure","http://static.metacritic.com/images/products/games/6/9197f29284712f109808c7c3595a9b8f-98.jpg","3.4","A medieval multiplayer sandbox with terraforming, free preset and modular building construction, rich crafting (smelting, forging, farming, animals breeding etc.), survival, no target physics based combat, original combat formation system and numerous other features.","PC","Bitbox Ltd.","Bitbox Ltd.","","2015-11-17","http://www.metacritic.com/game/pc/life-is-feudal-your-own"
"Life is Strange","78","Action Adventure","http://static.metacritic.com/images/products/games/2/80e5288aed58a433d722be3a1c920cbd-98.jpg","8.7","Life is Strange is a hand drawn work of art and every action enacts a butterfly effect - but with the power to rewind time, what would you change? And would it turn out to be a change for the better or worse?","PC","Square Enix","DONTNOD Entertainment","M","2015-10-20","http://www.metacritic.com/game/pc/life-is-strange"
"LISA","78","Action","http://static.metacritic.com/images/products/games/3/9893d9c769ca0153c730bd39f99fe5fb-98.jpg","8.5","The miserable journey of a broken man...","PC","Dingaling","Dingaling","M","2014-12-15","http://www.metacritic.com/game/pc/lisa"
"Mad Max","73","Action","http://static.metacritic.com/images/products/games/4/dfd3dd0d9866d69ab8a413797c7ca89a-98.jpg","7.7","Mad Max places players in the role of a lone warrior who must embark on a journey to reclaim his stolen interceptor from a deadly gang of marauders.","PC","Warner Bros. Interactive Entertainment","Avalanche Studios","M","2015-09-01","http://www.metacritic.com/game/pc/mad-max"
"Mafia II","77","Action Adventure","http://static.metacritic.com/images/products/games/6/12d7abb32cf48670cb041b5d956d05bf-98.jpg","7.8","Featuring a deep mobster-driven narrative packed with both behind-the-wheel and on-foot action, Mafia 2 is the sequel fans have been clamoring for. Like the original Mafia title, Mafia 2 immerses players in the mob underworld of a fictitious late 1940's-early 1950's scenario. Players easily become engaged in the game's cinematic Hollywood movie experience with strong, believable characters in a living, breathing city. [2K Games]","PC","2K Games","2K Czech","M","2010-08-24","http://www.metacritic.com/game/pc/mafia-ii"
"Magicka 2","69","Fantasy","http://static.metacritic.com/images/products/games/0/0dd4d0b5a83ee241587ca4c640f0993a-98.jpg","5.9","Magicka 2 brings the spellcasting system, irreverent humor, and relationship-testing friendly fire into an all-new adventure with up to 4-player co-op for the PlayStation 4 and PC.","PC","Paradox Interactive","Pieces Interactive","T","2015-05-26","http://www.metacritic.com/game/pc/magicka-2"
"Magicka: Wizard Wars","69","Action Adventure","http://static.metacritic.com/images/products/games/2/facef4032dbbc98f9627b27cb24f7670-98.jpg","7.8","Magicka: Wizard Wars is a sandbox action PvP game that utilizes the humor and dynamic spellcasting system of Magicka, tasking players to form teams of four and blaze their way across the battlefield together, combining elements to cast hundreds of different spells to generate a broad variety of offensive and defensive effects. Each player can design a persistent and personalized wizard with hundreds of unique items and guide them to glory.
Wizard Wars is a Fun-to-Play Team-based PvP experience, filled with tongue-in-cheek references to popular media and current events. With short rounds and unpredictable strategies, Wizard Wars gives both novice players and experienced MOBA veterans a unique tactical depth in every encounter.","PC","Paradox Interactive","Paradox North","","2014-05-27","http://www.metacritic.com/game/pc/magicka-wizard-wars"
"MapleStory",NA,"Role-Playing","http://static.metacritic.com/images/products/games/2/3d1f822219dcfd39cf8d9b0d9c28851a-98.jpg",NA,"MapleStory puts you and your friends in a free-to-play, fantasy MMORPG with custom characters and fascinating creatures.","PC","Nexon America Inc.","Wizet","E10+","2005-11-01","http://www.metacritic.com/game/pc/maplestory"
"Marvel Heroes 2015","81","Role-Playing","http://static.metacritic.com/images/products/games/7/e11655ac6c208f0901859030f4613484-98.jpg","7.9","Set in the iconic Marvel Universe, Marvel Heroes combines the core game-play style of Action RPGs and MMOs with the expansive library of heroes from the Marvel Universe. In the game, players can collect and play as their favorite Marvel Superheroes (including Iron Man, Thor, Wolverine, Hulk, Spider-Man, Captain America and many others).Team up with friends and try to stop Doctor Doom from devastating the world with the power of the Cosmic Cube in a story written by Marvel comic super-scribe Brian Michael Bendis.","PC","Gazillion","Gazillion","","2014-06-04","http://www.metacritic.com/game/pc/marvel-heroes-2015"
"Mass Effect","89","Role-Playing","http://static.metacritic.com/images/products/games/0/ebcba5f7c2b43b785cbefd839514bc72-98.jpg","8.6","As the first human on the galactic stage, you must uncover the greatest threat to civilization. Your job is complicated by the very fact of your humanity, as no one trusts you and you need to find a way to convince everyone of the grave threat. You will travel across an expansive universe to piece the mystery together. As you discover and explore the uncharted edges of the galaxy, you come closer to an overwhelming truth - learning that the placid and serene universe you know is about to come to a violent end and that you may be the only person who can stop it! In addition to the main story arc of the game, players are be able to visit a large number of uncharted, unexplored planets which are side quests independent from the main story. At any time during the campaign, a player can choose to explore one of these planets and have an opportunity to discover new alien life, resources, ruined civilizations and powerful technologies. Talents and abilities are upgradeable and advanced talent options become available at higher levels. Weapons and vehicles are customizable to include various effects, abilities and upgrades using the ""X-Mod"" system. Each character class have unique talents and abilities which increase in power as the player progresses through the game. Optimized controls have been designed specifically for the PC. Fully customizable controls â?? PC gamers can re-map the control scheme any way they like. Run & Gun Control â?? Players can assign biotic powers or skills to â??hot keysâ?? allowing them to play Mass Effect with a heavier focus on action. New decryption mini-game. New inventory screen GUI and functionality â?? The enhanced inventory system makes it easier for players to equip and modify their weapons and armor. [Microsoft]","PC","Electronic Arts","BioWare, Demiurge Studios","M","2008-05-28","http://www.metacritic.com/game/pc/mass-effect"
"Medieval II: Total War","88","Strategy","http://static.metacritic.com/images/products/games/2/af41891c1d5f33102c788d7eb9b6da97-98.jpg","8.9","Medieval 2: Total War boasts an impressive array of new graphical and gameplay enhancements, including the capability for a massive 10,000 dynamic characters to be taken into battle at any one time. On top of this, The Creative Assembly have implemented a fully redesigned multiplayer mode that offers a dynamic multi-battle campaign bolstered by an unprecedented level of visceral combat choreography that reflects the brutality of medieval warfare. Set in the most turbulent and bloody era in European history, Medieval 2: Total War allows gamers to lead their armies across the battlefields of Europe and the Holy Land before discovering the Americas and doing battle with the fearsome Aztecs. Medieval 2: Total War offers a vastly enhanced terrain model to create new graphically rich environments portraying breathtaking cliff top castles and enhanced settlement features that are unique to each civilisation. [Sega]","PC","Sega","Creative Assembly","T","2006-11-13","http://www.metacritic.com/game/pc/medieval-ii-total-war"
"Men of War: Assault Squad 2","68","Strategy","http://static.metacritic.com/images/products/games/0/194bef0a91e13550c96523ca29df6bff-98.jpg","5.7","Men of War: Assault Squad 2 features new single player style skirmish modes that take players from extreme tank combat to deadly sniper stealth missions.","PC","1C","1C","","2014-03-20","http://www.metacritic.com/game/pc/men-of-war-assault-squad-2"
"Metal Gear Solid V: Ground Zeroes","80","Action Adventure","http://static.metacritic.com/images/products/games/6/56436474ca87b84bc02669c68805b73a-98.jpg","7.7","Metal Gear Solid V: Ground Zeroes is the first segment of the Metal Gear Solid V Experience and prologue to the larger second segment, Metal Gear Solid V: The Phantom Pain launching thereafter.","PC","Konami","Kojima Productions","M","2014-12-18","http://www.metacritic.com/game/pc/metal-gear-solid-v-ground-zeroes"
"Metal Gear Solid V: The Phantom Pain","91","Action Adventure","http://static.metacritic.com/images/products/games/7/82ec8f8b2d8c23898829c020e9405957-98.jpg","7.5","The Soviet invasion of Afghanistan has brought a new edge to the Cold War, and in 1984, a one-eyed man with a prosthetic arm appears in the country. Those who know him call him Snake; the legendary mercenary who was once swept from the stage of history and left in a coma by American private intelligence network Cipher. Snake is accompanied by Ocelot, an old friend who saved him from attack when he finally awoke.Now, Snake's former partner Kazuhira Miller is being held by the Soviet forces in Afghanistan. Snake must undertake a solo mission to rescue Miller and prove to the world that the legendary mercenary is not dead and gone. That first step will lead to a path of vengeance against the very Cipher that slaughtered so many of Snake's men, and to a battle that will embroil the whole world...What started in Ground Zeroes must finish with ""V"".","PC","Konami","Kojima Productions","M","2015-09-01","http://www.metacritic.com/game/pc/metal-gear-solid-v-the-phantom-pain"
"Metro: 2033 Redux","90","Action","http://static.metacritic.com/images/products/games/7/9c80cacfedaeb3cfaa999decb80287df-98.jpg","8.3","Metro 2033 Redux is the definitive version of the cult classic ‘Metro 2033’, rebuilt in the latest and greatest iteration of the 4A Engine for Next Gen. Fans of the original game will find the unique world of Metro transformed with incredible lighting, physics and dynamic weather effects. Newcomers will get the chance to experience one of the finest story-driven shooters of all time; an epic adventure combining gripping survival horror, exploration and tactical combat and stealth.","PC","Deep Silver","4A Games","M","2014-08-25","http://www.metacritic.com/game/pc/metro-2033-redux"
"Microsoft Flight Simulator X","80","Simulation","http://static.metacritic.com/images/products/games/2/50e00ee1474f423dddb78dc4f1563212-98.jpg","7.6","From award winning game developer ACES comes Flight Simulator X. The latest installment will include the usual genre leading realism that continues to awe real pilots and will serve as the graphical benchmark for games on Windows Vista. Additionally, Flight Simulator X will deliver for the first time structured game play with more than 55 missions to choose from which will test the skills of players of all levels. [Microsoft]","PC","Microsoft Game Studios","Microsoft Game Studios","E","2006-10-17","http://www.metacritic.com/game/pc/microsoft-flight-simulator-x"
"Middle-earth: Shadow of Mordor","84","Action Adventure","http://static.metacritic.com/images/products/games/2/48539251d9a8df2ca9906587a3ff1fb4-98.jpg","8","Fight your way through Mordor and reveal the truth of the spirit that compels you, discover the origins of the Rings of Power, build your legend and ultimately confront the evil of Sauron in this new story of Middle-earth.","PC","Warner Bros. Interactive Entertainment","Monolith Productions","M","2014-09-30","http://www.metacritic.com/game/pc/middle-earth-shadow-of-mordor"
"Might & Magic Heroes VI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Might & Magic Heroes VII","67","Strategy","http://static.metacritic.com/images/products/games/5/0dfa2cb8bf161bc76d029d4f1506eada-98.jpg","5","The story takes place during a war of succession. The Empress’ murder has left a realm in flames with many ambitious rivals ready to take the throne by force. The Duke Ivan then brings together a prestigious council of six trusted advisers to restore order and end the conflict that set ablaze Ashan’s lands.","PC","Ubisoft","Limbic Entertainment","T","2015-09-29","http://www.metacritic.com/game/pc/might-magic-heroes-vii"
"Minecraft: Story Mode - A Telltale Games Series",NA,"Fantasy","http://static.metacritic.com/images/products/games/3/7fc47f7f743cce8155171890ad8deb8b-98.jpg","4.2","Minecraft: Story Mode is like a playable TV show based on your favorite game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrust into an adventure to save the world. While visiting EnderCon, your crew confronts something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who killed the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond.","PC","Telltale Games","Telltale Games, Mojang AB","","2015-10-13","http://www.metacritic.com/game/pc/minecraft-story-mode---a-telltale-games-series"
"Mitos.is: The Game",NA,"Action","http://static.metacritic.com/images/products/games/2/26579db115855d0bdfc3e80c1497556e-98.jpg",NA,"","PC","Freakinware Studios","Freakinware Studios","","2015-07-29","http://www.metacritic.com/game/pc/mitosis-the-game"
"Mortal Kombat Komplete Edition","81","Action","http://static.metacritic.com/images/products/games/4/5b0507d8a09d492c34c3acb1e3665178-98.jpg","8.7","Mortal Kombat Komplete Edition delivers the critically acclaimed game, all previously released downloadable content (DLC), plus digital downloads of the 2011 release of Mortal Kombat: Songs Inspired by the Warriors album with a bonus track, and the 1995 Mortal Kombat film on the PlayStation Store or Xbox Live Zune. The DLC includes fan-favorite warriors Skarlet, Kenshi and Rain, as well as the infamous dream stalker Freddy Krueger. The game also offers 15 Klassic Skins and three Klassic Fatalities (Scorpion, Sub-Zero and Reptile). Mortal Kombat: Songs Inspired by the Warriors is a collection of electronic music inspired by the game and is executive produced by JFK (of the DJ/ production duo MSTRKRFT and Death From Above 1979).","PC","Warner Bros. Interactive Entertainment","NetherRealm Studios","M","2013-08-06","http://www.metacritic.com/game/pc/mortal-kombat-komplete-edition"
"Mortal Kombat X","76","Action","http://static.metacritic.com/images/products/games/2/df3453ba2a9904bf8a7acb0c2ae9581d-98.jpg","5.5","Mortal Kombat X combines cinematic presentation with all new gameplay to deliver the most brutal Kombat experience ever, offering a new fully-connected experience that launches players into a persistent online contest where every fight matters in a global battle for supremacy. For the first time, Mortal Kombat X gives players the ability to choose from multiple variations of each character impacting both strategy and fighting style. Players step into an original story showcasing some of the game’s most prolific characters including Scorpion and Sub-Zero, while introducing new challengers that represent the forces of good and evil and tie the tale together.","PC","Warner Bros. Interactive Entertainment","High Voltage Software","M","2015-04-14","http://www.metacritic.com/game/pc/mortal-kombat-x"
"Mount & Blade: Warband","78","Role-Playing","http://static.metacritic.com/images/products/games/5/66cf3e915e0f2f47c6003b6e7f5ef03b-98.jpg","8.7","The first expansion pack for Mount & Blade introduces an array of brand-new features, highlighted by a multiplayer capability that allows up to 64 players to participate.","PC","Paradox Interactive","Taleworlds","T","2010-03-30","http://www.metacritic.com/game/pc/mount-blade-warband"
"Napoleon: Total War","81","Strategy","http://static.metacritic.com/images/products/games/1/f5ded0eefcad50d75a710b5819545e0c-98.jpg","7.9","Napoleon: Total War defines a new standard within the genre with exciting characters and a cinematic narrative, mind-blowing battle sequences and an unrivalled mix of turn-based and real-time strategy. Take command and lead your armies on land and sea over three campaigns: Italy, Egypt and Mastery of Europe. The seamless mix of objective-based missions and sandbox experience makes this the most complete Total War experience to date. Napoleon features fully integrated multiplayer modes and a complete set of online functionalities: Steam achievements, gameplay bonuses, uniform editor and voice communications. Advanced weaponry enables new tactical options and even more exciting real-time battles on an epic scale, while the highly detailed environments and improved battlefield buildings guarantee a realistic recreation of famous historical battles. [Sega]","PC","Sega","Creative Assembly","T","2010-02-23","http://www.metacritic.com/game/pc/napoleon-total-war"
"Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst","80","Action","http://static.metacritic.com/images/products/games/5/7ad301c45c11d3ea8e3e6b71ae679a4e-98.jpg","7.9","Live the 4th Great Ninja War and its overpowering boss fights or defy your friends in ultra dynamic online and offl ine ninja confrontations! Originally released in March 2013 for Xbox 360 and PlayStation 3 to wide critical and fan acclaim, NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 has been given a thorough overhaul for its FULL BURST comeback! The ""ULTIMATE"" Ninja Storm 3 edition features many new enhancements and additional content, including the feverishly anticipated chapter where Sasuke and Itachi take on Kabuto in a nail-biting confrontation.","PC","Namco Bandai Games","CyberConnect2","T","2013-10-24","http://www.metacritic.com/game/pc/naruto-shippuden-ultimate-ninja-storm-3-full-burst"
"Naruto Shippuden: Ultimate Ninja Storm Revolution","61","Action","http://static.metacritic.com/images/products/games/7/f1ab50ab71b8f75f396584dece853c5e-98.jpg","6.4","Anime visuals and fluid 3D ninja fighting action come together once again for the next Ultimate Ninja STORM game yet. NARUTO SHIPPUDEN: Ultimate Ninja STORM REVOLUTION features new gameplay mechanics including Combination Ultimate Jutsu attacks, allowing characters to combine their honed powers to create techniques to bring opponents to their knees. With a roster reaching 100 playable characters spanning the entire NARUTO and NARUTO SHIPPUDEN anime arcs, there are likely to be characters that fit everyone's play style. A new character designed by NARUTO manga creator Masashi Kishimoto also makes an appearance in NARUTO SHIPPUDEN: Ultimate Ninja STORM REVOLUTION.","PC","Bandai Namco Games","CyberConnect2","T","2014-09-15","http://www.metacritic.com/game/pc/naruto-shippuden-ultimate-ninja-storm-revolution"
"NBA 2K15","87","Sports","http://static.metacritic.com/images/products/games/1/7cc8bf0a0404d59c760d248008b9bc79-98.jpg","5","On the heels of NBA 2K14s 70 Game of the Year Award Nominations, the NBA 2K franchise is the ultimate basketball simulation experience. Featuring NBA MVP Kevin Durant on the cover, NBA 2K15 hits the court with unprecedented life-like graphics, ultra-realistic NBA gameplay, and more. Take your MyPLAYER on an epic journey from undrafted rookie tryout, to MVP, to NBA Hall of Famer. Park Mode lets you ball against the worlds toughest 2K competitors in cutthroat multiplayer pick-up games. Every jersey, juke, and pom pon is brought to life with unrivaled realism. To top it off, NBA 2K15s music has been curated by famed producer and musician, Pharrell. NBA 2K15 has created a truly authentic NBA adventure. Its up to you to claim your destiny. #YourTimeHasCome","PC","2K Sports","2K Sports","E","2014-10-07","http://www.metacritic.com/game/pc/nba-2k15"
"NBA 2K16",NA,"Action","http://static.metacritic.com/images/products/games/6/91463c028198793e86aa78c9ee6dee62-98.jpg","7","Be the Story. The NBA 2K franchise is back with a true-to-life NBA experience in NBA 2K16. Guide your MyPLAYER through the complete NBA journey, take control of an entire NBA franchise, or refine your skills online competing against gamers from around the globe. With animations that provide smoother movement and more realistic articulation, it promises to be the most authentic NBA gaming experience yet. [2K]","PC","2K Games","2K Sports","E10+","2015-09-29","http://www.metacritic.com/game/pc/nba-2k16"
"Neverwinter","74","Role-Playing","http://static.metacritic.com/images/products/games/5/ef6c3035dd0c7129a88df3335ccf9b51-98.jpg","5.3","Once a bustling location, Neverwinter has faced a great many disasters in the past hundred years. Rule of the city remains unclear following the unfortunate demise of the last Lord of Neverwinter and factions still battle for dominance after the all-consuming Spellplague took a high toll on the population. Even Neverwinter’s dead are beginning to rise from their graves and march upon the city they once called home.","PC","Perfect World Entertainment","Cryptic Studios","","2013-06-20","http://www.metacritic.com/game/pc/neverwinter"
"Nidhogg","81","Miscellaneous","http://static.metacritic.com/images/products/games/4/19609f61369f61e907cc4ae3c646bf2a-98.jpg","6.9","Nidhogg is the epic award-winning fencing tug-of-war, full of graceful acrobatics and clumsy stabs. IRL yelling and excitement may occur, in this ultimate two-player showdown of fast-paced fencing and melee attacks. Beware, advantages in Nidhogg are often fleeting, as new opponents continually spawn in your way.","PC","Messhof","Messhof","","2014-01-13","http://www.metacritic.com/game/pc/nidhogg"
"No More Room in Hell",NA,"Action","http://static.metacritic.com/images/products/games/4/fca5ba188b1e5158d662b97b16d7c0df-98.jpg","7.8","","PC","Lever Games","No More Room in Hell Team","","2013-10-31","http://www.metacritic.com/game/pc/no-more-room-in-hell"
"Nosgoth",NA,"Action","http://static.metacritic.com/images/products/games/1/13e988a797f3b76099efedccd6677468-98.jpg",NA,"Humans versus Vampires in brutal team-based PvP battles. Nosgoth is a Free2Play game.","PC","Square Enix","Psyonix","","1970-01-01","http://www.metacritic.com/game/pc/nosgoth"
"NUX","","Action","http://static.metacritic.com/images/products/games/6/2ffc95c8c20c4eae83077de75d3d01be-98.jpg","","","PC","Idigicon","Idigicon","","2006-05-23","http://www.metacritic.com/game/pc/nux"
"One Piece: Pirate Warriors 3","62","Action","http://static.metacritic.com/images/products/games/9/ede097fd4f18fcdc3137c20df717e12b-98.jpg","5.4","Rain down attacks on the hordes of enemies pouring onto players’ screens, and double team with a partner to launch an even more massive assault. A myriad of co-op action and fusion attacks with new support attacks will take the action gameplay to greater heights. Join up with your faves from the Straw Hat Crew or even with villains like Captain Kuro, Alvida and Axe-hand Morgan and call them into battle to pull off unrestrained combos that will send enemies flying.","PC","Bandai Namco Games","Omega Force","T","2015-08-28","http://www.metacritic.com/game/pc/one-piece-pirate-warriors-3"
"Ori and the Blind Forest","88","Action","http://static.metacritic.com/images/products/games/6/bc83e4da3e9f272a7fcb3b7200935469-98.jpg","8.7","Ori and the Blind Forest is a bit of a genremix – It’s a ‘Metroidvania‘, but with a stronger platforming focus and light RPG elements, all set within an atmospheric world.","PC","Microsoft Game Studios","Moon Studios","E","2015-03-11","http://www.metacritic.com/game/pc/ori-and-the-blind-forest"
